time,low,high,open,close,volume
1576713600,7286.59,7371.7,7288.05,7337.35,622.73481858
1576714500,7243.85,7337.37,7335.07,7252.72,367.38693181
1576715400,7216.99,7265.18,7257.56,7229.85,348.5805319
1576716300,7227.3,7262.76,7227.83,7251.0,90.21846713
1576717200,7150.92,7255.15,7251.0,7151.35,898.37973681
1576718100,7139.79,7189.94,7151.35,7160.49,618.46710695
1576719000,7135.0,7163.97,7160.48,7139.26,144.99409842
1576719900,7138.29,7170.98,7139.26,7170.01,60.34022091
1576720800,7140.11,7170.01,7170.01,7150.0,82.71263606
1576721700,7149.99,7194.05,7149.99,7187.46,80.44498576
1576722600,7160.0,7185.35,7185.32,7176.97,99.52370756
1576723500,7148.5,7180.78,7176.96,7157.95,51.9842561
1576724400,7157.94,7179.09,7157.95,7162.21,55.80726325
1576725300,7156.24,7165.2,7162.2,7163.75,40.80288969
1576726200,7162.09,7176.12,7163.75,7172.86,62.06195017
1576727100,7159.16,7179.13,7172.86,7165.41,47.5936453
1576728000,7140.0,7165.42,7165.42,7149.98,66.42489473
1576728900,7146.59,7165.29,7149.97,7146.6,58.48692018
1576729800,7140.79,7150.0,7146.6,7145.24,57.33078956
1576730700,7135.59,7145.25,7145.24,7140.76,49.1412533
1576731600,7117.11,7140.76,7140.76,7117.12,131.6172325
1576732500,7115.28,7148.81,7117.12,7140.12,104.56260622
1576733400,7126.08,7156.31,7140.12,7152.62,101.53117607
1576734300,7151.98,7165.91,7152.76,7153.52,75.56168212
1576735200,7145.19,7165.91,7153.52,7146.01,84.85540697
1576736100,7138.6,7146.01,7146.01,7138.71,64.54982714
1576737000,7125.95,7140.93,7138.71,7139.27,60.09822561
1576737900,7125.0,7139.31,7139.27,7127.12,73.75731309
1576738800,7125.0,7135.44,7127.12,7135.42,72.76036983
1576739700,7119.1,7135.43,7135.43,7122.32,66.83212581
1576740600,7116.02,7128.68,7122.32,7123.77,60.68461906
1576741500,7087.0,7127.86,7127.86,7089.68,150.87957141
1576742400,7080.15,7108.29,7089.69,7108.29,138.23832344
1576743300,7090.74,7110.16,7108.29,7091.73,42.28873664
1576744200,7083.07,7102.84,7091.72,7088.32,56.92798187
1576745100,7073.27,7090.32,7088.32,7076.98,129.99970965
1576746000,7064.0,7078.7,7076.97,7064.01,80.58972314
1576746900,7060.0,7066.18,7064.01,7060.0,20.92760642
1576747800,7044.45,7122.92,7060.0,7122.92,166.8629144
1576748700,7097.82,7148.42,7125.77,7114.5,151.19002561
1576749600,7113.66,7179.38,7113.66,7168.0,204.52389375
1576750500,7151.29,7189.02,7166.15,7169.52,75.60050413
1576751400,7131.1,7169.57,7169.52,7140.0,32.57869403
1576752300,7139.99,7164.71,7143.95,7149.72,11.13305995
1576753200,7132.46,7169.26,7149.73,7132.46,36.43005634
1576754100,7121.16,7150.0,7132.46,7149.99,39.91555826
1576755000,7138.92,7164.63,7149.99,7153.96,14.6060074
1576755900,7142.68,7169.27,7155.04,7142.68,56.70625228
1576756800,7137.13,7193.3,7142.68,7167.33,94.04708565
1576757700,7145.78,7179.57,7166.18,7173.25,117.3925745
1576758600,7144.97,7181.73,7173.25,7178.17,226.75629423
1576759500,7170.68,7215.51,7176.46,7181.3,168.47738585
1576760400,7174.82,7215.63,7181.3,7193.52,96.88899995
1576761300,7186.77,7227.48,7193.43,7206.45,161.50451761
1576762200,7086.33,7210.38,7206.45,7116.36,361.5552499
1576763100,7061.47,7116.37,7116.37,7079.13,133.91434688
1576764000,7067.0,7107.82,7079.12,7107.8,133.77418542
1576764900,7081.0,7107.8,7107.8,7086.76,114.66122766
1576765800,7078.0,7097.37,7086.77,7095.03,110.29266057
1576766700,7087.08,7118.71,7095.04,7117.42,64.61649026
1576767600,7110.02,7137.79,7117.43,7129.01,107.71628304
1576768500,7119.65,7132.1,7129.01,7129.27,70.23222831
1576769400,7122.38,7170.34,7128.52,7148.63,90.15011938
1576770300,7133.74,7164.01,7147.6,7136.01,69.54074178
1576771200,7115.0,7154.25,7136.0,7137.01,151.38727773
1576772100,7134.2,7167.61,7137.01,7148.15,138.05312868
1576773000,7139.57,7163.8,7148.15,7149.99,67.37066916
1576773900,7127.08,7150.0,7150.0,7131.05,64.02118014
1576774800,7110.13,7136.05,7131.04,7113.49,124.04282755
1576775700,7107.0,7125.76,7113.49,7116.09,119.36183216
1576776600,7114.43,7143.09,7116.09,7141.55,68.09973241
1576777500,7120.0,7150.0,7141.55,7125.52,75.33170516
1576778400,7113.34,7155.37,7125.99,7155.37,64.54869536
1576779300,7140.63,7155.6,7155.37,7146.23,65.71005669
1576780200,7145.96,7164.76,7145.97,7164.37,59.70024236
1576781100,7148.56,7164.37,7164.36,7152.06,76.43839059
1576782000,7146.0,7169.25,7152.06,7149.06,51.95202547
1576782900,7140.0,7156.44,7146.77,7153.4,48.85174785
1576783800,7152.0,7169.85,7153.1,7165.79,44.44930612
1576784700,7163.78,7179.0,7165.79,7177.01,69.37340929
1576785600,7153.0,7180.0,7177.0,7162.08,67.27061584
1576786500,7157.0,7169.29,7161.15,7157.01,40.62471468
1576787400,7144.0,7162.99,7157.01,7144.01,33.07663267
1576788300,7131.88,7158.92,7144.0,7148.05,83.38355603
1576789200,7145.29,7160.0,7148.48,7152.33,34.57366293
1576790100,7151.0,7160.0,7152.0,7158.92,35.06133467
1576791000,7131.13,7158.93,7158.93,7131.14,46.27818357
1576791900,7130.0,7166.25,7131.13,7154.0,79.81547211
1576792800,7127.44,7154.01,7154.01,7130.77,46.0403376
1576793700,7130.76,7144.42,7130.77,7137.17,70.48584021
1576794600,7129.99,7153.99,7137.17,7150.52,73.3078083
1576795500,7149.0,7159.81,7149.98,7152.8,49.18736705
1576796400,7150.0,7159.73,7152.8,7159.49,63.62863589
1576797300,7145.42,7159.48,7159.48,7145.43,57.02561748
1576798200,7140.0,7146.02,7145.43,7140.06,58.96198115
1576799100,7140.05,7151.21,7140.06,7149.12,44.54663065
1576800000,7142.0,7156.01,7149.13,7144.61,56.63552192
1576800900,7134.15,7148.0,7144.61,7134.15,57.61356559
1576801800,7081.1,7137.12,7134.12,7087.01,101.42822614
1576802700,7080.0,7118.0,7087.01,7118.0,132.47808367
1576803600,7091.79,7125.05,7118.0,7091.79,89.32702299
1576804500,7091.02,7107.93,7091.79,7098.37,34.01777073
1576805400,7088.77,7103.96,7098.37,7102.97,56.86066412
1576806300,7097.47,7110.0,7102.97,7097.48,31.99638005
1576807200,7092.07,7110.26,7097.48,7103.97,66.4130416
1576808100,7103.96,7127.66,7103.97,7127.65,44.62695782
1576809000,7126.25,7131.95,7127.65,7131.06,44.77632143
1576809900,7116.09,7131.66,7131.05,7118.19,28.45381843
1576810800,7115.0,7125.17,7118.19,7116.15,24.00834456
1576811700,7115.52,7129.23,7115.99,7127.01,25.25526986
1576812600,7119.84,7128.85,7127.01,7128.28,27.00554622
1576813500,7124.52,7135.28,7128.27,7125.53,27.81795478
1576814400,7121.05,7134.15,7125.53,7124.05,33.83348659
1576815300,7121.05,7128.05,7124.04,7121.06,23.20062049
1576816200,7121.05,7126.01,7121.05,7124.94,31.66122404
1576817100,7120.0,7126.94,7124.94,7120.79,27.78294021
1576818000,7112.0,7131.83,7120.79,7112.01,46.71482119
1576818900,7095.05,7112.79,7112.01,7099.32,63.53232537
1576819800,7090.68,7104.38,7098.66,7096.15,86.21454386
1576820700,7085.0,7108.34,7096.71,7085.9,139.90752208
1576821600,7073.66,7099.34,7085.9,7097.79,43.87405909
1576822500,7097.51,7122.49,7099.61,7108.93,122.63825473
1576823400,7101.48,7117.91,7111.17,7101.48,20.89300367
1576824300,7101.47,7111.01,7101.47,7106.34,32.18810318
1576825200,7106.3,7123.48,7106.31,7117.32,59.47298412
1576826100,7108.75,7130.15,7117.32,7126.44,49.16229228
1576827000,7120.75,7152.0,7126.43,7124.52,26.97992894
1576827900,7119.43,7143.02,7124.52,7141.6,24.14213155
1576828800,7123.51,7142.04,7141.6,7140.55,23.20848049
1576829700,7134.51,7168.48,7140.56,7155.33,64.32397219
1576830600,7093.75,7155.33,7155.32,7116.77,115.9861437
1576831500,7114.65,7128.58,7116.76,7128.16,19.06491467
1576832400,7122.26,7135.45,7128.16,7131.36,18.74941509
1576833300,7131.35,7149.8,7131.36,7134.24,37.93070581
1576834200,7125.01,7141.84,7134.24,7130.13,20.22853704
1576835100,7126.72,7131.6,7130.13,7126.73,16.27694078
1576836000,7123.0,7127.81,7126.73,7127.81,19.24090059
1576836900,7127.8,7137.59,7127.81,7133.08,79.35858435
1576837800,7133.07,7140.49,7133.07,7134.59,17.48552326
1576838700,7129.79,7136.15,7135.0,7136.15,21.83264138
1576839600,7130.83,7153.0,7136.15,7130.83,42.71337828
1576840500,7129.85,7140.84,7130.82,7140.84,30.92305633
1576841400,7139.34,7143.14,7140.83,7141.05,17.37066656
1576842300,7141.04,7144.05,7141.05,7142.01,21.39545601
1576843200,7132.39,7148.05,7142.01,7142.52,190.5661639
1576844100,7143.52,7166.5,7143.52,7160.99,125.85745307
1576845000,7153.8,7161.0,7160.99,7155.04,42.45362932
1576845900,7155.04,7190.97,7155.04,7182.87,121.56777488
1576846800,7164.12,7185.26,7182.86,7166.34,68.80664528
1576847700,7162.82,7168.79,7166.34,7164.48,44.5027954
1576848600,7162.82,7180.5,7164.48,7178.02,39.15282994
1576849500,7176.47,7184.4,7178.01,7180.0,39.59926194
1576850400,7150.0,7180.01,7180.01,7156.0,91.81436094
1576851300,7154.57,7169.01,7156.0,7164.58,79.58042851
1576852200,7164.57,7168.67,7164.58,7164.58,42.63591573
1576853100,7160.86,7200.0,7164.58,7197.72,146.60796079
1576854000,7176.63,7216.04,7197.71,7176.64,109.48292029
1576854900,7164.64,7182.48,7176.64,7165.65,50.66590553
1576855800,7140.0,7165.66,7165.66,7150.09,67.84073663
1576856700,7140.0,7155.0,7150.09,7150.96,98.52957855
1576857600,7139.62,7159.01,7150.96,7154.76,156.78662872
1576858500,7126.64,7154.76,7154.76,7139.52,99.93090393
1576859400,7137.56,7159.0,7138.62,7159.0,93.11200307
1576860300,7157.09,7164.0,7158.99,7160.9,65.70958259
1576861200,7160.42,7171.56,7160.89,7171.56,122.74184145
1576862100,7145.43,7189.55,7172.0,7160.0,128.60140661
1576863000,7159.02,7184.04,7160.0,7181.36,56.96893802
1576863900,7168.25,7183.71,7181.36,7176.66,31.34449371
1576864800,7168.44,7192.5,7176.66,7182.68,162.38916681
1576865700,7174.48,7204.01,7182.69,7191.57,132.85042385
1576866600,7188.05,7208.86,7191.56,7190.01,154.91423416
1576867500,7181.2,7192.01,7189.98,7190.99,39.01896351
1576868400,7190.99,7206.44,7190.99,7193.0,73.00327981
1576869300,7185.93,7194.62,7193.01,7187.56,35.47921889
