 time,low,high,open,close,volume
1576713600,125.68,134.11,132.89,128.18,93934.20288922
1576800000,125.71,129.32,128.18,128.37,44379.22091837
1576886400,126.63,128.45,128.36,127.09,25941.74023594
1576972800,126.89,133.22,127.16,132.4,40439.9594125
1577059200,126.16,135.24,132.4,127.78,62248.12241615
1577145600,126.5,129.5,127.75,127.71,34976.25422744
1577232000,123.16,127.77,127.67,125,45117.58085216
1577318400,124.06,132.06,125,125.49,51891.10919615
1577404800,122.15,126.7,125.49,126.23,39780.97303035
1577491200,125.8,129.6,126.23,127.91,47036.68791942
1577577600,127.22,137.85,127.95,134.3,64885.83350862
1577664000,129.79,135.97,134.31,131.1,58811.72784574
1577750400,127.6,133.19,131.08,128.54,85044.39188554
1577836800,128.12,132.68,128.54,130.19,57512.49500629
1577923200,125.83,130.18,130.14,126.81,49211.56901537
1578009600,125.52,134.93,126.81,134.17,88651.89284841
1578096000,132.5,135.75,134.17,134.14,31254.84712421
1578182400,134.14,138.97,134.14,135.31,45353.69311227
1578268800,134.78,144.51,135.31,144.19,91523.60992709
1578355200,138.79,145.25,144.2,143.08,96525.42253821
1578441600,137.03,148,143.08,140.6,101682.09291578
1578528000,135.12,141.38,140.64,137.71,61184.99933797
1578614400,135.26,145.81,137.72,144.72,137620.99823131
1578700800,142,148,144.89,142.63,52850.50876755
1578787200,141.83,146.6,142.51,146.6,35450.66532334
1578873600,142.1,147,146.55,143.51,44072.65864059
1578960000,143.45,170.83,143.5,165.76,258408.61594025
1579046400,159.13,172.18,165.74,166.29,165292.68609565
1579132800,158.17,167.28,166.27,163.93,88188.75031049
1579219200,162.01,174.52,164,169.59,134919.66648757
1579305600,164.92,179.32,169.54,174.06,113052.32285408
1579392000,161.7,178,174.05,166.75,113433.68959115
1579478400,161.1,169.3,166.67,166.68,66340.77435099
1579564800,164.28,170,166.66,169.19,61518.4955582
1579651200,165.65,171.05,169.29,167.68,49452.51856158
1579737600,158.44,167.79,167.73,162.4,69309.04423236
1579824000,154.48,164.21,162.49,162.3,88510.10066684
1579910400,157.4,162.41,162.31,160.12,36677.5237579
1579996800,159.09,167.59,160,167.35,44653.7353865
1580083200,164.89,171.7,167.58,169.77,84463.87778454
1580169600,169.78,176.5,169.78,175.99,102264.17475594
1580256000,173.13,178.31,175.91,173.45,85409.92407361
1580342400,170,186.89,173.41,184.55,104426.47390742
1580428800,175,185.68,184.52,179.74,108639.77662455
