time,low,high,open,close,volume
1576713600,130.51,134.11,132.89,130.82,6665.29865484
1576717200,126.77,131.05,130.79,128.42,19914.94298478
1576720800,127.81,129.37,128.43,128.66,3473.17404795
1576724400,128.28,129.27,128.66,129.23,1883.19674137
1576728000,128.04,129.17,129.17,128.39,1298.13374918
1576731600,127.61,128.68,128.38,128.35,3020.74253602
1576735200,127.53,128.33,128.33,127.54,2555.57357007
1576738800,127.36,128.08,127.53,127.51,2729.10362473
1576742400,127.13,127.65,127.48,127.13,1386.45442623
1576746000,125.7,127.37,127.13,126.8,7392.58038535
1576749600,126.8,128.41,126.8,127.64,1475.68637763
1576753200,125.87,127.86,127.64,125.96,1886.17764692
1576756800,125.71,127.44,126.01,126.8,2456.7031646
1576760400,125.68,127.8,126.8,126.19,6951.76965966
1576764000,125.94,126.79,126.17,126.79,1897.52193341
1576767600,126.45,127.75,126.79,127.26,3170.4375782
1576771200,126.65,128.6,127.26,126.87,5592.69054264
1576774800,126.38,127.2,126.9,126.51,2424.53177612
1576778400,126.39,127.93,126.68,127.44,2061.58330638
1576782000,127.15,128.27,127.62,127.57,2117.44663147
1576785600,126.32,127.57,127.57,126.7,4705.98560406
1576789200,125.93,127.05,126.77,126.57,3586.73503012
1576792800,126.1,127.59,126.54,127.39,3017.53873288
1576796400,127.14,128.34,127.38,128.18,2270.19418461
1576800000,126.25,128.64,128.18,127.35,4691.94986519
1576803600,126.28,127.51,127.33,126.99,1501.35305458
1576807200,126.77,127.2,126.91,126.79,1103.38790179
1576810800,126.77,127.07,126.78,126.83,916.4292313
1576814400,126.54,126.96,126.82,126.7,738.43127246
1576818000,125.71,126.85,126.68,125.94,5368.52504032
1576821600,125.93,126.62,125.94,126.34,1029.67583965
1576825200,126.34,127.26,126.34,127.18,1133.12113521
1576828800,126.48,127.27,127.18,126.95,1380.13410662
1576832400,126.78,127.36,126.95,126.78,632.12877346
1576836000,126.68,127.15,126.78,126.8,631.73344107
1576839600,126.79,127.25,126.79,127.25,1237.80630353
1576843200,127.21,128.47,127.25,128.29,2971.10941341
1576846800,127.94,128.3,128.3,128.13,972.08874558
1576850400,127.12,128.75,128.13,128.66,2211.0178262
1576854000,126.6,129.32,128.64,127.35,5698.15090378
1576857600,126.9,128.0,127.34,127.7,1754.35202396
1576861200,127.44,128.28,127.71,127.99,2827.02836692
1576864800,127.67,128.41,128.02,128.05,1435.62725994
1576868400,127.88,128.23,128.05,128.1,1557.6700358
1576872000,128.0,128.5,128.11,128.44,879.4336802
1576875600,128.06,128.49,128.45,128.15,1287.33165447
1576879200,127.8,128.36,128.18,128.21,1480.56162558
1576882800,127.92,128.38,128.21,128.37,940.17341735
1576886400,127.37,128.45,128.36,127.66,3816.9905999
1576890000,127.16,127.89,127.64,127.36,1065.66737838
1576893600,127.25,127.61,127.36,127.3,622.50122566
1576897200,127.19,127.57,127.29,127.45,868.68952443
1576900800,127.45,127.95,127.45,127.61,692.75611137
1576904400,127.45,127.76,127.6,127.47,1063.04175231
1576908000,127.3,127.6,127.47,127.33,745.74220264
1576911600,127.01,127.64,127.31,127.18,1917.95447208
1576915200,127.17,127.34,127.17,127.34,692.82695107
1576918800,126.63,127.34,127.34,126.66,990.5852747
1576922400,126.66,127.18,126.67,127.11,419.87686849
1576926000,126.95,127.86,127.15,127.57,517.76343845
1576929600,127.34,127.63,127.52,127.63,501.22175962
1576933200,126.83,127.63,127.63,127.09,642.30473096
1576936800,126.82,127.47,127.1,127.2,624.01216761
1576940400,127.14,127.81,127.2,127.29,659.64294048
1576944000,127.11,127.61,127.29,127.27,1155.48296745
1576947600,127.07,127.42,127.27,127.21,869.53438684
1576951200,127.06,127.21,127.21,127.07,517.76552892
1576954800,126.85,127.17,127.06,127.13,1123.37073994
1576958400,126.92,127.25,127.12,127.13,2623.24818096
1576962000,126.85,127.6,127.16,126.96,1450.58193167
1576965600,126.9,127.36,126.91,127.29,800.84935399
1576969200,126.91,127.37,127.29,127.09,1559.32974802
1576972800,126.89,127.28,127.16,126.97,318.71030443
1576976400,126.97,127.42,126.97,127.34,337.72732046
1576980000,127.08,127.53,127.37,127.16,663.78410393
1576983600,127.03,127.28,127.16,127.24,568.52801704
1576987200,127.16,127.29,127.23,127.24,339.25860367
1576990800,127.01,127.27,127.25,127.03,209.65979251
1576994400,126.99,127.13,127.03,127.08,208.51706266
1576998000,127.07,129.55,127.07,129.4,3909.39560381
1577001600,128.73,130.87,129.47,128.73,5413.77348365
1577005200,128.77,129.23,128.77,129.0,403.43496968
1577008800,128.99,129.68,128.99,129.47,957.62261241
1577012400,128.96,129.75,129.49,129.08,224.67653428
1577016000,129.09,129.56,129.09,129.32,813.8572899
1577019600,129.32,129.99,129.32,129.55,997.92812729
1577023200,129.28,129.55,129.55,129.47,628.92629385
1577026800,129.33,129.95,129.47,129.77,1182.71245677
1577030400,129.5,130.55,129.71,129.82,3437.3241996
1577034000,129.65,131.09,129.82,130.36,3079.93557666
1577037600,130.02,131.89,130.36,131.35,5183.87193105
1577041200,131.35,132.49,131.35,132.14,2756.61625828
1577044800,132.06,133.12,132.14,133.06,2954.95042914
1577048400,131.9,133.22,133.06,132.01,1705.78315495
1577052000,131.5,132.29,132.01,131.95,1399.70801045
1577055600,131.63,132.43,131.95,132.4,2743.25727603
1577059200,132.22,135.0,132.4,133.96,6460.1363286
1577062800,133.28,134.82,133.97,134.34,3506.24596753
1577066400,133.97,135.24,134.33,134.02,4224.8773099
1577070000,133.6,134.28,134.03,134.04,2113.73223092
1577073600,133.26,134.11,134.04,133.26,1759.11332
1577077200,132.19,133.25,133.23,132.44,1544.84613405
1577080800,131.06,132.6,132.45,131.74,3210.50593325
1577084400,131.42,132.32,131.8,131.88,964.5139351
1577088000,131.71,132.64,131.87,132.64,456.09643721
1577091600,132.24,132.8,132.64,132.79,532.82385037
1577095200,132.61,133.54,132.8,132.67,1425.9654158
1577098800,132.59,133.27,132.63,132.94,1570.45842761
1577102400,132.72,133.13,132.96,132.95,304.22435156
1577106000,132.76,133.97,132.96,132.92,1337.30184117
1577109600,132.49,133.63,132.92,133.19,1673.05259769
1577113200,132.69,133.44,133.18,133.37,1342.1025064
1577116800,131.17,134.36,133.35,131.7,4323.28178618
1577120400,128.3,131.96,131.7,129.36,9106.10424346
1577124000,128.94,129.99,129.29,129.17,1626.54664993
1577127600,128.56,129.34,129.17,129.08,1053.75406646
1577131200,128.65,129.12,129.0,128.89,803.47569007
1577134800,126.16,128.89,128.89,127.12,8786.25595695
1577138400,126.17,127.39,127.07,127.17,1971.64432407
1577142000,127.01,128.47,127.13,127.78,2151.06311187
1577145600,127.64,128.16,127.75,128.16,2343.21772615
1577149200,127.33,128.5,128.15,127.63,1190.06817027
1577152800,127.59,128.02,127.7,128.01,579.46677065
1577156400,127.38,128.09,128.02,127.58,1738.48110684
1577160000,127.49,128.05,127.58,127.88,738.43407268
1577163600,127.71,128.22,127.86,128.19,1027.37731725
1577167200,127.89,128.19,128.19,128.04,490.30223889
1577170800,126.65,128.04,128.04,126.94,1195.00888362
1577174400,126.5,128.71,126.94,127.9,2127.13693688
1577178000,127.84,128.46,127.96,128.32,760.92287037
1577181600,128.12,128.8,128.32,128.44,568.03105897
1577185200,128.19,128.52,128.44,128.49,519.87882058
1577188800,128.09,128.61,128.5,128.17,696.54085514
1577192400,128.14,128.7,128.17,128.43,2276.58594414
1577196000,128.25,129.5,128.43,128.37,1714.39859679
1577199600,127.09,128.5,128.36,127.74,1974.87348377
1577203200,126.76,128.39,127.73,128.34,1438.1199365
1577206800,127.36,128.37,128.34,127.5,1787.05984694
1577210400,126.92,127.8,127.46,127.26,2614.35070446
1577214000,127.01,128.2,127.23,127.53,3761.43254281
1577217600,127.14,127.76,127.54,127.68,1312.97971378
1577221200,127.66,128.15,127.68,127.93,1481.03240911
1577224800,127.29,127.92,127.91,127.77,1504.77243645
1577228400,127.39,128.09,127.77,127.71,1135.7817844
1577232000,126.82,127.77,127.67,126.84,843.00544213
1577235600,125.0,126.83,126.83,126.24,5207.10679269
1577239200,125.58,126.25,126.25,125.77,755.53293614
1577242800,125.28,125.77,125.76,125.7,1193.95859156
1577246400,125.7,126.32,125.7,126.26,1201.1119851
1577250000,125.79,126.25,126.25,125.83,365.08277994
1577253600,124.57,125.83,125.83,125.1,3141.38605244
1577257200,124.61,125.82,125.1,125.5,2691.99536994
1577260800,125.43,125.86,125.5,125.73,623.92881131
1577264400,125.15,125.76,125.74,125.34,295.97715086
1577268000,123.82,125.41,125.31,124.47,3159.97844292
1577271600,123.86,124.64,124.47,124.24,1507.79715392
1577275200,123.16,125.34,124.24,124.32,4626.90626651
1577278800,123.81,124.57,124.33,124.2,2665.03156381
1577282400,123.64,124.42,124.16,124.16,2880.87393535
1577286000,123.63,124.5,124.15,124.28,960.78145248
1577289600,123.35,124.69,124.29,123.97,2504.31301255
1577293200,123.7,124.42,123.92,124.39,1247.15507869
1577296800,123.99,124.64,124.36,124.64,1244.07441359
1577300400,124.58,125.6,124.63,125.33,1526.56246926
1577304000,125.33,125.83,125.33,125.51,3121.69426569
1577307600,124.83,125.5,125.47,125.23,1522.75872598
1577311200,124.88,125.58,125.2,125.28,1061.54138233
1577314800,124.67,125.28,125.28,125.0,769.02677697
1577318400,124.57,125.3,125.0,124.61,818.9262778
1577322000,124.5,124.87,124.63,124.78,311.48258501
1577325600,124.78,125.23,124.78,125.1,597.54703114
1577329200,124.17,125.1,125.1,124.27,1031.67871035
1577332800,124.12,124.69,124.27,124.13,633.44033482
1577336400,124.06,124.48,124.12,124.27,733.67525038
1577340000,124.25,124.61,124.27,124.61,1479.72641902
1577343600,124.42,124.65,124.61,124.53,583.25199538
1577347200,124.56,125.72,124.56,125.23,3023.18773512
1577350800,125.02,125.63,125.24,125.05,701.96437043
1577354400,124.95,125.2,125.05,125.11,645.83984482
1577358000,124.68,125.11,125.11,124.88,456.41689758
1577361600,124.7,125.39,124.86,125.17,713.97458586
1577365200,125.0,125.7,125.2,125.4,921.87125761
1577368800,125.36,125.76,125.42,125.62,1285.44246866
1577372400,125.3,126.41,125.62,125.93,2697.05021279
1577376000,125.47,128.74,125.94,128.03,5827.49258366
1577379600,127.78,128.78,128.03,128.66,2618.63806312
1577383200,128.23,128.78,128.66,128.65,1870.69712485
