time,low,high,open,close,volume
1576713600,132.89,134.11,132.89,133.79,1334.93810222
1576714500,132.57,133.8,133.73,132.57,1108.58255268
1576715400,131.96,132.59,132.57,131.96,1121.98787623
1576716300,130.51,132.56,131.94,130.82,3099.79012371
1576717200,126.77,131.05,130.79,127.49,12275.10372128
1576718100,127.03,128.4,127.46,127.93,4887.4902793
1576719000,127.39,128.5,128.03,128.16,1009.08930592
1576719900,128.12,128.83,128.14,128.42,1743.25967828
1576720800,127.81,128.45,128.43,128.12,553.55289381
1576721700,128.11,129.37,128.11,129.09,835.57590488
1576722600,128.21,129.17,129.09,128.9,1561.85111406
1576723500,128.29,128.9,128.89,128.66,522.1941352
1576724400,128.34,128.79,128.66,128.49,258.68025758
1576725300,128.39,128.65,128.5,128.65,400.2471237
1576726200,128.28,129.27,128.64,129.14,875.42202824
1576727100,128.76,129.24,129.19,129.23,348.84733185
1576728000,128.22,129.17,129.17,128.48,451.32383549
1576728900,128.36,128.66,128.45,128.43,217.10991611
1576729800,128.25,128.47,128.43,128.27,241.5097759
1576730700,128.04,128.39,128.27,128.39,388.19022168
1576731600,127.63,128.38,128.38,127.64,1033.27188732
1576732500,127.61,128.23,127.64,128.04,616.89151861
1576733400,127.71,128.14,128.04,128.14,903.14326922
1576734300,128.14,128.68,128.14,128.35,467.43586087
1576735200,127.53,128.33,128.33,127.61,1769.65836357
1576736100,127.55,127.71,127.63,127.65,241.12391358
1576737000,127.56,127.79,127.64,127.78,432.94004476
1576737900,127.53,127.79,127.79,127.54,111.85124816
1576738800,127.42,127.62,127.53,127.62,619.53803433
1576739700,127.61,127.97,127.61,127.93,344.72473591
1576740600,127.77,128.07,127.93,128.07,1060.22041723
1576741500,127.36,128.08,128.08,127.51,704.62043726
1576742400,127.26,127.54,127.48,127.52,316.01435493
1576743300,127.25,127.65,127.54,127.26,329.27274557
1576744200,127.26,127.43,127.26,127.36,169.6139196
1576745100,127.13,127.37,127.37,127.13,571.55340613
1576746000,126.75,127.35,127.13,126.75,895.06993113
1576746900,125.7,126.81,126.76,126.03,3227.61134399
1576747800,125.76,127.09,126.02,127.09,2687.87311563
1576748700,126.52,127.37,127.1,126.8,582.0259946
1576749600,126.8,128.13,126.8,127.59,584.7883775
1576750500,127.6,128.41,127.6,128.19,393.15141277
1576751400,127.71,128.19,128.19,127.93,138.95557462
1576752300,127.62,127.92,127.92,127.64,358.79101274
1576753200,126.89,127.86,127.64,126.89,1022.77594582
1576754100,126.58,127.08,126.88,127.08,201.68443001
1576755000,126.31,127.07,127.07,126.62,236.17404843
1576755900,125.87,126.94,126.56,125.96,425.54322266
1576756800,125.96,126.81,126.01,126.23,651.54049437
1576757700,125.71,126.57,126.24,126.57,393.67234563
1576758600,126.13,126.84,126.57,126.78,479.57194099
1576759500,126.71,127.44,126.78,126.8,931.91838361
1576760400,126.6,127.8,126.8,127.03,1812.52193116
1576761300,126.9,127.56,127.03,127.21,1392.93273509
1576762200,125.85,127.22,127.21,126.52,2254.50325002
1576763100,125.68,126.54,126.54,126.19,1491.81174339
1576764000,126.06,126.56,126.17,126.56,733.17700538
1576764900,125.94,126.58,126.57,126.09,602.65121954
1576765800,125.97,126.35,126.09,126.32,284.91059295
1576766700,126.2,126.79,126.3,126.79,276.78311554
1576767600,126.55,126.84,126.79,126.69,229.50169788
1576768500,126.45,127.0,126.74,127.0,692.86892602
1576769400,126.81,127.75,127.0,126.82,1545.67127887
1576770300,126.64,127.47,126.82,127.26,702.39567543
1576771200,126.65,127.51,127.26,127.24,851.6811059
1576772100,127.18,128.6,127.24,127.78,2878.71386278
1576773000,127.41,127.81,127.78,127.43,226.52467347
1576773900,126.81,127.43,127.43,126.87,1635.77090049
1576774800,126.56,127.2,126.9,126.76,445.18528425
1576775700,126.39,126.98,126.77,126.84,683.98203473
1576776600,126.57,127.0,126.83,126.9,682.24005126
1576777500,126.38,127.0,126.94,126.51,613.12440588
1576778400,126.39,127.2,126.68,127.2,764.09527631
1576779300,126.96,127.24,127.2,127.02,385.07290328
1576780200,127.01,127.88,127.01,127.88,402.70571224
1576781100,127.33,127.93,127.87,127.44,509.70941455
1576782000,127.62,127.88,127.62,127.67,342.03108296
1576782900,127.15,127.87,127.63,127.84,782.62430903
1576783800,127.58,127.91,127.8,127.81,249.50753307
1576784700,127.32,128.27,127.89,127.57,743.28370641
1576785600,126.32,127.57,127.57,126.91,2799.37254894
1576786500,126.68,127.19,126.91,127.04,554.07998325
1576787400,126.74,127.4,127.04,126.78,633.56388564
1576788300,126.66,127.0,126.77,126.7,718.96918623
1576789200,126.66,126.96,126.77,126.77,740.88279428
1576790100,126.68,127.05,126.74,127.0,996.25907407
1576791000,125.93,126.99,126.99,126.28,1335.99862711
